experiment,shapelet_lengths,dimensionality,cardinality,r,best_k,cv_accuracy,test_accuracy
3,"[100, 200, 300]",12,4,5,9,0.9199999999999999,0.904
1,"[100, 200, 300]",4,4,5,7,0.8789999999999999,0.888
4,"[100, 200, 300]",16,4,5,9,0.913,0.872
2,"[100, 200, 300]",8,4,5,5,0.835,0.795
